,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
836,140,2.2,0.9,0.507951195,7.249289538,-0.271862267,,,,,,
981,150,1.9,0.1,0.419292425,8.242739017,-0.272322743,,,,,,
982,150,1.9,0.2,0.419292425,8.242739017,-0.272322743,,,,,,
983,150,1.9,0.3,0.419292425,8.242739017,-0.272322743,,,,,,
984,150,1.9,0.4,0.419292425,8.242739017,-0.272322743,,,,,,
985,150,1.9,0.5,0.419292425,8.242739017,-0.272322743,,,,,,
986,150,1.9,0.6,0.419292425,8.242739017,-0.272322743,,,,,,
987,150,1.9,0.7,0.419292425,8.242739017,-0.272322743,,,,,,
988,150,1.9,0.8,0.419292425,8.242739017,-0.272322743,,,,,,
989,150,1.9,0.9,0.419292425,8.242739017,-0.272322743,,,,,,
1908,200,2.2,0.1,0.426995694,8.776938858,-0.273141905,,,,,,
1909,200,2.2,0.2,0.426995694,8.776938858,-0.273141905,,,,,,
1910,200,2.2,0.3,0.426995694,8.776938858,-0.273141905,,,,,,
1911,200,2.2,0.4,0.426995694,8.776938858,-0.273141905,,,,,,
1912,200,2.2,0.5,0.426995694,8.776938858,-0.273141905,,,,,,
1913,200,2.2,0.6,0.426995694,8.776938858,-0.273141905,,,,,,
1914,200,2.2,0.7,0.426995694,8.776938858,-0.273141905,,,,,,
1915,200,2.2,0.8,0.426995694,8.776938858,-0.273141905,,,,,,
1916,200,2.2,0.9,0.426995694,8.776938858,-0.273141905,,,,,,
1548,180,2.2,0.1,0.4076403,8.774297642,-0.278066614,,,,,,
1549,180,2.2,0.2,0.4076403,8.774297642,-0.278066614,,,,,,
1550,180,2.2,0.3,0.4076403,8.774297642,-0.278066614,,,,,,
1551,180,2.2,0.4,0.4076403,8.774297642,-0.278066614,,,,,,
1552,180,2.2,0.5,0.4076403,8.774297642,-0.278066614,,,,,,
1553,180,2.2,0.6,0.4076403,8.774297642,-0.278066614,,,,,,
1554,180,2.2,0.7,0.4076403,8.774297642,-0.278066614,,,,,,
1555,180,2.2,0.8,0.4076403,8.774297642,-0.278066614,,,,,,
1556,180,2.2,0.9,0.4076403,8.774297642,-0.278066614,,,,,,
1377,170,2.3,0.1,0.512396111,6.98128896,-0.280998923,,,,,,
1378,170,2.3,0.2,0.512396111,6.98128896,-0.280998923,,,,,,
1379,170,2.3,0.3,0.512396111,6.98128896,-0.280998923,,,,,,
1380,170,2.3,0.4,0.512396111,6.98128896,-0.280998923,,,,,,
1381,170,2.3,0.5,0.512396111,6.98128896,-0.280998923,,,,,,
1382,170,2.3,0.6,0.512396111,6.98128896,-0.280998923,,,,,,
1383,170,2.3,0.7,0.512396111,6.98128896,-0.280998923,,,,,,
1384,170,2.3,0.8,0.512396111,6.98128896,-0.280998923,,,,,,
1385,170,2.3,0.9,0.512396111,6.98128896,-0.280998923,,,,,,
1737,190,2.3,0.1,0.398552702,8.776047224,-0.284104514,,,,,,
1738,190,2.3,0.2,0.398552702,8.776047224,-0.284104514,,,,,,
1739,190,2.3,0.3,0.398552702,8.776047224,-0.284104514,,,,,,
1740,190,2.3,0.4,0.398552702,8.776047224,-0.284104514,,,,,,
1741,190,2.3,0.5,0.398552702,8.776047224,-0.284104514,,,,,,
1742,190,2.3,0.6,0.398552702,8.776047224,-0.284104514,,,,,,
1743,190,2.3,0.7,0.398552702,8.776047224,-0.284104514,,,,,,
1744,190,2.3,0.8,0.398552702,8.776047224,-0.284104514,,,,,,
1745,190,2.3,0.9,0.398552702,8.776047224,-0.284104514,,,,,,
2295,220,2.5,0.1,0.303621262,9.413163351,-0.284443681,,,,,,
2296,220,2.5,0.2,0.303621262,9.413163351,-0.284443681,,,,,,
2297,220,2.5,0.3,0.303621262,9.413163351,-0.284443681,,,,,,
2298,220,2.5,0.4,0.303621262,9.413163351,-0.284443681,,,,,,
2299,220,2.5,0.5,0.303621262,9.413163351,-0.284443681,,,,,,
