<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.29	05:00:00	1.05660	1.05663	1.05399	1.05414	2881	1397341538	51
2017.05.29	06:00:00	1.05414	1.05424	1.05255	1.05258	2398	1633530706	51
2017.05.29	07:00:00	1.05260	1.05274	1.05154	1.05197	3066	1747523247	51
2017.05.29	08:00:00	1.05197	1.05281	1.05175	1.05214	3415	1906286967	51
2017.05.29	09:00:00	1.05215	1.05233	1.05134	1.05171	3445	2525323025	51
2017.05.29	10:00:00	1.05171	1.05259	1.05121	1.05240	2907	2230320250	51
2017.05.29	11:00:00	1.05239	1.05281	1.05203	1.05222	2472	1961428855	51
2017.05.29	12:00:00	1.05223	1.05274	1.05211	1.05216	2055	1571425914	51
2017.05.29	13:00:00	1.05215	1.05256	1.05143	1.05153	2264	1378122658	51
2017.05.29	14:00:00	1.05153	1.05153	1.04877	1.04997	2621	1838788365	51
2017.05.29	15:00:00	1.04997	1.04999	1.04940	1.04987	2067	1807260790	51
2017.05.29	16:00:00	1.04987	1.05070	1.04959	1.05070	2378	1874483158	51
2017.05.29	17:00:00	1.05070	1.05150	1.05050	1.05147	2202	1706844977	51
2017.05.29	18:00:00	1.05146	1.05407	1.05139	1.05407	2381	1430111705	51
2017.05.29	19:00:00	1.05407	1.05504	1.05375	1.05498	2423	1551463186	51
2017.05.29	20:00:00	1.05498	1.05505	1.05389	1.05418	2554	1495855258	51
2017.05.29	21:00:00	1.05417	1.05438	1.05311	1.05332	1443	1146550000	51
2017.05.29	22:00:00	1.05316	1.05477	1.05300	1.05393	1994	1783794116	51
2017.05.29	23:00:00	1.05383	1.05465	1.05302	1.05349	2684	1856850000	51
2017.05.30	00:00:00	1.05343	1.05441	1.05294	1.05411	520	247050000	71
2017.05.30	01:00:00	1.05411	1.05570	1.05408	1.05470	2104	1226950000	51
2017.05.30	02:00:00	1.05471	1.05541	1.05440	1.05481	2843	1321100000	51
2017.05.30	03:00:00	1.05480	1.05482	1.05289	1.05385	4897	3223925671	51
2017.05.30	04:00:00	1.05389	1.05477	1.05345	1.05469	4797	3225297491	51
2017.05.30	05:00:00	1.05469	1.05513	1.05344	1.05355	3655	2480250000	51
2017.05.30	06:00:00	1.05357	1.05383	1.05309	1.05315	3092	2087949279	51
2017.05.30	07:00:00	1.05315	1.05350	1.05254	1.05299	3157	2131833331	51
2017.05.30	08:00:00	1.05296	1.05463	1.05296	1.05439	4145	2312180807	51
2017.05.30	09:00:00	1.05434	1.05470	1.05323	1.05336	4925	3050219274	51
2017.05.30	10:00:00	1.05335	1.05482	1.05225	1.05451	5301	3581953304	51
2017.05.30	11:00:00	1.05450	1.05579	1.05368	1.05480	4570	3304956912	51
2017.05.30	12:00:00	1.05480	1.05482	1.05359	1.05427	4037	2675912676	51
2017.05.30	13:00:00	1.05428	1.05433	1.05326	1.05329	3475	2398412274	51
2017.05.30	14:00:00	1.05330	1.05352	1.05259	1.05311	4596	3150433172	51
2017.05.30	15:00:00	1.05313	1.05398	1.05305	1.05335	5661	3437283111	51
2017.05.30	16:00:00	1.05334	1.05342	1.05224	1.05306	6627	4834962941	51
2017.05.30	17:00:00	1.05310	1.05353	1.05197	1.05201	6279	3591575354	51
2017.05.30	18:00:00	1.05202	1.05276	1.05166	1.05181	4679	3143044827	51
2017.05.30	19:00:00	1.05181	1.05200	1.05143	1.05177	3361	2316705380	51
2017.05.30	20:00:00	1.05177	1.05224	1.05154	1.05166	2247	1538845313	51
2017.05.30	21:00:00	1.05166	1.05207	1.05115	1.05116	2421	1678142446	51
2017.05.30	22:00:00	1.05116	1.05207	1.05105	1.05188	2097	1292894144	51
2017.05.30	23:00:00	1.05188	1.05209	1.05134	1.05140	1672	1244886251	51
2017.05.31	00:00:00	1.05147	1.05258	1.05056	1.05124	1233	456550000	51
2017.05.31	01:00:00	1.05121	1.05238	1.05091	1.05211	1477	878500000	51
2017.05.31	02:00:00	1.05213	1.05258	1.05192	1.05234	2527	1196850000	51
2017.05.31	03:00:00	1.05234	1.05364	1.05222	1.05260	4145	2428671630	51
2017.05.31	04:00:00	1.05262	1.05262	1.04866	1.05062	6109	3014826802	51
2017.05.31	05:00:00	1.05061	1.05145	1.04984	1.05099	4302	2443903212	51
2017.05.31	06:00:00	1.05098	1.05129	1.05030	1.05080	3009	2101722942	51
2017.05.31	07:00:00	1.05076	1.05134	1.05047	1.05129	2708	1479904613	51
2017.05.31	08:00:00	1.05125	1.05169	1.05058	1.05121	3664	2087500000	51
2017.05.31	09:00:00	1.05132	1.05201	1.04935	1.04936	4624	2514722240	51
2017.05.31	10:00:00	1.04935	1.04974	1.04871	1.04967	5139	3699892180	51
2017.05.31	11:00:00	1.04966	1.04980	1.04906	1.04917	4674	3818706720	51
2017.05.31	12:00:00	1.04917	1.04920	1.04820	1.04851	4180	2580430673	51
2017.05.31	13:00:00	1.04852	1.04884	1.04712	1.04838	5407	4359689454	51
