<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.10	1.06797	1.07273	1.06657	1.07044	87740	0	0
2020.06.11	1.06945	1.07103	1.06344	1.06570	111022	0	3
2020.06.12	1.06572	1.06802	1.06289	1.06466	113782	0	7
2020.06.15	1.06163	1.06897	1.05810	1.06856	102607	0	0
2020.06.16	1.06848	1.07278	1.06471	1.06765	103795	0	0
2020.06.17	1.06749	1.06941	1.06507	1.06584	81414	0	6
2020.06.18	1.06580	1.06851	1.06317	1.06568	79103	0	4
2020.06.19	1.06563	1.07063	1.06429	1.06648	76218	0	4
2020.06.22	1.06652	1.06826	1.06289	1.06584	65822	0	0
2020.06.23	1.06554	1.06936	1.06522	1.06723	79244	0	5
2020.06.24	1.06660	1.07546	1.06649	1.07142	75744	0	0
2020.06.25	1.07134	1.07183	1.06739	1.07095	70285	0	10
2020.06.26	1.07065	1.07165	1.06716	1.06864	54797	0	6
2020.06.29	1.06872	1.07027	1.06708	1.06859	60935	0	10
2020.06.30	1.06864	1.07169	1.06789	1.06937	62077	0	0
2020.07.01	1.06916	1.07041	1.06642	1.06745	62677	0	0
2020.07.02	1.06726	1.06785	1.06057	1.06304	60579	0	0
2020.07.03	1.06269	1.06737	1.06095	1.06095	41335	0	0
2020.07.06	1.06171	1.06615	1.06134	1.06360	50558	0	0
2020.07.07	1.06360	1.06513	1.06050	1.06095	55308	0	0
2020.07.08	1.06234	1.06234	1.05880	1.06152	60216	0	6
2020.07.09	1.06140	1.06275	1.05882	1.05972	67657	0	0
2020.07.10	1.05984	1.06042	1.05650	1.05700	59793	0	5
2020.07.13	1.05625	1.06228	1.05625	1.06101	64703	0	0
2020.07.14	1.06063	1.06851	1.06050	1.06777	81132	0	0
2020.07.15	1.06638	1.06913	1.06511	1.06624	69792	0	0
2020.07.16	1.06624	1.06773	1.06487	1.06646	68677	0	10
2020.07.17	1.06647	1.06789	1.06568	1.06647	52700	0	11
2020.07.20	1.06585	1.06758	1.06549	1.06667	49959	0	10
2020.07.21	1.06669	1.07536	1.06615	1.07288	70462	0	10
2020.07.22	1.07229	1.07466	1.07075	1.07157	73263	0	4
2020.07.23	1.07156	1.07269	1.06876	1.06957	78183	0	2
2020.07.24	1.06951	1.07132	1.06722	1.06954	72702	0	13
2020.07.27	1.06884	1.07013	1.06705	1.06933	70469	0	9
2020.07.28	1.06914	1.07582	1.06837	1.07429	72520	0	9
2020.07.29	1.07388	1.07924	1.07344	1.07759	71433	0	5
2020.07.30	1.07639	1.07997	1.07352	1.07373	73010	0	8
2020.07.31	1.07377	1.07836	1.07328	1.07734	92149	0	4
2020.08.03	1.07446	1.07850	1.07166	1.07713	69761	0	4
2020.08.04	1.07714	1.08277	1.07490	1.08111	67718	0	4
2020.08.05	1.08078	1.08606	1.07772	1.08165	68762	0	0
2020.08.06	1.08168	1.08516	1.08044	1.08178	76354	0	4
2020.08.07	1.08178	1.08536	1.07978	1.08441	75005	0	8
2020.08.10	1.08318	1.08735	1.08237	1.08443	54969	0	6
2020.08.11	1.08402	1.08953	1.08327	1.08590	74902	0	0
2020.08.12	1.08516	1.09195	1.08481	1.08853	80669	0	0
2020.08.13	1.08852	1.09211	1.08760	1.09163	63557	0	7
2020.08.14	1.09114	1.09633	1.09051	1.09595	49855	0	0
